CardId,McmId
1792,279764
1793,279765
1794,371573
1795,279766
1796,279767
1797,279768
1798,279769
1799,279770
1800,279771
1801,279772
1802,279773
1803,279774
1804,279775
1805,279776
1806,279777
1807,279778
1808,279779
1809,279780
1810,371590
1811,279781
1812,279782
1813,279783
1814,279784
1815,279785
1816,279786
1817,279787
1818,279788
1819,279789
1820,279790
1821,279791
1822,371585
1823,279792
1824,279793
1825,279794
1826,279795
1827,279796
1828,279797
1829,279798
1830,279799
1831,279800
1832,279801
1833,371586
1834,279802
1835,279803
1836,279804
1837,279805
1838,279806
1839,279807
1840,279808
1841,279809
1842,279810
1843,279811
1844,279812
1845,279813
1846,279814
1847,279815
1848,279816
1849,371584
1850,279817
1851,279818
1852,371575
1853,279819
1854,279820
1855,279821
1856,279822
1857,279823
1858,279824
1859,279825
1860,279826
1861,279827
1862,279828
1863,279829
1864,279830
1865,279831
1866,279832
1867,279833
1868,279834
1869,279835
1870,279836
1871,279837
1872,279838
1873,279839
1874,279840
1875,279841
1876,279842
1877,371576
1878,449593
1879,279843
1880,279844
1881,449543
1882,371577
1883,371582
1884,279845
1885,450528
1886,371579
1887,279846
1888,449688
1889,279847
1890,450178
1891,371578
1892,279848
1893,371580
1894,449528
1895,371583
1896,279849
1897,449383
1898,450033
1899,371581
1900,279850
1901,279851
1902,279852
1903,279853
1904,300947
1905,300948
1906,300900
1907,279966
1908,279967
1909,279968
1910,279969
1911,279970
1912,279971
1913,279972
1914,279973
1915,279974
1916,279975
1917,279976
1918,279977
1919,279978
1920,279979
1921,279980
1922,279981
1923,279982
1924,279983
1925,279984
1926,279985
1927,279986
1928,279987
1929,279988
1930,279989
1931,279990
1932,279991
1933,279992
1934,279993
1935,279994
1936,279995
1937,279996
1938,279997
1939,279998
1940,279999
1941,280000
1942,280001
1943,280002
1944,280003
1945,280004
1946,280005
1947,280006
1948,280007
1949,280008
1950,280009
1951,280010
1952,280011
1953,280012
1954,280013
1955,280014
1956,280015
1957,280016
1958,280017
1959,280018
1960,280019
1961,280020
1962,280021
1963,280022
1964,280023
1965,280024
1966,280025
1967,280026
1968,280027
1969,280028
1970,280029
1971,280030
1972,280031
1973,280032
1974,280033
1975,280034
1976,280035
1977,280036
1978,280037
1979,280038
1980,280039
1981,280040
1982,280041
1983,280042
1984,280043
1985,280044
1986,280045
1987,280046
1988,280047
1989,371587
1990,280048
1991,280049
1992,280050
1993,280051
1994,280052
1995,280053
1996,280054
1997,280055
1998,280056
1999,280057
2000,280058
2001,280059
2002,280060
2003,450093
2004,280061
2005,280062
2006,280063
2007,300962
2008,300909
2009,300961
2010,280124
2011,280125
2012,280126
2013,280127
2014,280128
2015,280129
2016,280130
2017,449653
2018,280131
2019,280132
2020,280133
2021,450378
2022,280134
2023,280135
2024,449238
2025,280136
2026,280137
2027,363652
2028,280138
2029,280139
2030,280140
2031,280141
2032,280142
2033,280143
2034,280144
2035,280145
2036,280146
2037,280147
2038,280148
2039,280149
2040,280150
2041,280151
2042,280152
2043,280153
2044,280154
2045,280155
2046,371588
2047,280156
2048,280157
2049,280158
2050,280159
2051,280160
2052,280161
2053,280162
2054,280163
2055,280164
2056,280165
2057,280166
2058,280167
2059,280168
2060,280169
2061,280170
2062,280171
2063,280172
2064,280173
2065,280174
2066,280175
2067,280176
2068,280177
2069,280178
2070,280179
2071,280180
2072,280181
2073,280182
2074,280183
2075,280184
2076,280185
2077,280186
2078,280187
2079,280188
2080,280189
2081,280190
2082,280191
2083,280192
2084,280193
2085,280194
2086,280195
2087,280196
2088,280197
2089,280198
2090,280199
2091,280200
2092,280201
2093,280202
2094,280203
2095,449488
2096,280204
2097,280205
2098,280206
2099,280207
2100,280208
2101,280209
2102,371589
2103,280210
2104,280211
2105,280212
2106,280213
2107,280214
2108,449498
2109,280215
2110,280216
2111,280217
2112,280218
2113,280219
2114,280220
2115,280221
2116,280222
2117,280223
2118,280224
2119,280225
2120,300960
2121,300908
2122,300959
2123,280226
2124,280227
2125,280228
2126,280229
2127,280230
2128,280231
2129,280232
2130,280233
2131,280234
2132,280235
2133,280236
2134,280237
2135,280238
2136,280239
2137,280240
2138,280241
2139,280242
2140,280243
2141,280244
2142,280245
2143,280246
2144,280247
2145,280248
2146,280249
2147,280250
2148,280251
2149,280252
2150,280253
2151,280254
2152,280255
2153,280256
2154,280257
2155,280258
2156,280259
2157,280260
2158,280261
2159,280262
2160,280263
2161,280264
2162,280265
2163,280266
2164,280267
2165,280268
2166,280269
2167,280270
2168,280271
2169,280272
2170,280273
2171,280274
2172,280275
2173,280276
2174,280277
2175,280278
2176,363653
2177,280279
2178,280280
2179,280281
2180,280282
2181,280283
2182,280284
2183,280285
2184,280286
2185,280287
2186,280288
2187,280289
2188,280290
2189,280291
2190,280292
2191,280293
2192,280294
2193,280295
2194,280296
2195,280297
2196,280298
2197,280299
2198,280300
2199,280301
2200,280302
2201,280303
2202,280304
2203,280305
2204,280306
2205,280307
2206,280308
2207,280309
2208,280310
2209,280311
2210,280312
2211,280313
2212,280314
2213,280315
2214,280316
2215,280317
2216,280318
2217,280319
2218,280320
2219,280321
2220,280322
2221,280323
2222,280324
2223,280325
2224,280326
2225,280327
2226,280328
2227,300943
2228,300944
2229,300898
2230,280329
2231,280330
2232,280331
2233,450343
2234,450328
2235,280332
2236,450333
2237,450338
2238,280333
2239,280334
2240,280335
2241,280336
2242,280337
2243,280338
2244,280339
2245,280340
2246,449548
2247,280341
2248,280342
2249,280343
2250,280344
2251,280345
2252,280346
2253,280347
2254,280348
2255,280349
2256,280350
2257,280351
2258,280352
2259,280353
2260,449318
2261,280354
2262,280355
2263,280356
2264,280357
2265,280358
2266,280359
2267,280360
2268,280361
2269,280362
2270,280363
2271,280364
2272,449643
2273,280365
2274,280366
2275,280367
2276,280368
2277,280369
2278,280370
2279,280371
2280,280372
2281,280373
2282,280374
2283,280375
2284,449493
2285,280376
2286,280377
2287,280378
2288,280379
2289,280380
2290,280381
2291,280382
2292,280383
2293,280384
2294,280385
2295,280386
2296,280387
2297,280388
2298,450448
2299,280389
2300,280390
2301,280391
2302,280392
2303,280393
2304,280394
2305,280395
2306,280396
2307,280397
2308,280398
2309,280399
2310,280400
2311,280401
2312,280402
2313,280403
2314,280404
2315,280405
2316,280406
2317,280407
2318,280408
2319,280409
2320,280410
2321,280411
2322,449458
2323,280412
2324,280413
2325,280414
2326,280415
2327,280416
2328,280417
2329,280418
2330,280419
2331,280420
2332,280421
2333,371594
2334,280422
2335,280423
2336,280424
2337,280425
2338,450653
2339,280426
2340,280427
2341,280428
2342,280429
2343,280430
2344,280431
2345,280432
2346,280433
2347,280434
2348,280435
2349,280436
2350,280437
2351,280438
2352,280439
2353,300945
2354,300946
2355,300899
2356,280440
2357,280441
2358,280442
2359,280443
2360,280444
